scientific,common,order,family,birdnet_label,birdnet_how
Rattus richardsoni,Richardson's New Guinea Mountain Rat,Rodentia,Muridae,,none
Rattus sakeratensis,Little Indochinese Field Rat,Rodentia,Muridae,,none
Rattus salocco,Southeastern Xanthurus Rat,Rodentia,Muridae,,none
Rattus sanila,New Ireland Forest Rat,Rodentia,Muridae,,none
Rattus satarae,Sahyadris Forest Rat,Rodentia,Muridae,,none
Rattus simalurensis,Simalur Archipelago Rat,Rodentia,Muridae,,none
Rattus sordidus,Canefield Rat,Rodentia,Muridae,,none
Rattus steini,Stein's New Guinea Rat,Rodentia,Muridae,,none
Rattus stoicus,Andaman Archipelago Rat,Rodentia,Muridae,,none
Rattus taliabuensis,Taliabu Island Rat,Rodentia,Muridae,,none
Rattus tanezumi,East Asian House Rat,Rodentia,Muridae,,none
Rattus tawitawiensis,Tawitawi Forest Rat,Rodentia,Muridae,,none
Rattus timorensis,Timor Forest Rat,Rodentia,Muridae,,none
Rattus tiomanicus,Malaysian Field Rat,Rodentia,Muridae,,none
Rattus tunneyi,Australian Pale Field Rat,Rodentia,Muridae,,none
Rattus turkestanicus,Turkistan Rat,Rodentia,Muridae,,none
Rattus vandeuseni,Van Deusen's New Guinea Mountain Rat,Rodentia,Muridae,,none
Rattus verecundus,New Guinea Slender Rat,Rodentia,Muridae,,none
Rattus villosissimus,Australian Long-haired Rat,Rodentia,Muridae,,none
Rattus xanthurus,Northeastern Xanthurus Rat,Rodentia,Muridae,,none
Saxatilomys paulinae,Paulina's Limestone Rat,Rodentia,Muridae,,none
Sommeromys macrorhinos,Sommer's Sulawesi Rat,Rodentia,Muridae,,none
Srilankamys ohiensis,Ohia Rat,Rodentia,Muridae,,none
Sundamys annandalei,Annandale's Sundaic Rat,Rodentia,Muridae,,none
Sundamys infraluteus,Mountain Giant Rat,Rodentia,Muridae,,none
Sundamys maxi,Bartels's Rat,Rodentia,Muridae,,none
Sundamys muelleri,Müller's Rat,Rodentia,Muridae,,none
Taeromys arcuatus,Salokko Rat,Rodentia,Muridae,,none
Taeromys callitrichus,Lovely-haired Rat,Rodentia,Muridae,,none
Taeromys celebensis,Celebes Rat,Rodentia,Muridae,,none
Taeromys dominator,Giant Sulawesi Rat,Rodentia,Muridae,,none
Taeromys hamatus,Sulawesi Montane Rat,Rodentia,Muridae,,none
Taeromys microbullatus,Small-eared Rat,Rodentia,Muridae,,none
Taeromys punicans,Sulawesi Forest Rat,Rodentia,Muridae,,none
Taeromys taerae,Tondano Rat,Rodentia,Muridae,,none
Tarsomys apoensis,Dusky Moss Mouse,Rodentia,Muridae,,none
Tarsomys echinatus,Spiny Moss Mouse,Rodentia,Muridae,,none
Tarsomys orientalis,Kampalili Moss Mouse,Rodentia,Muridae,,none
Tateomys macrocercus,Long-tailed Sulawesian Shrew Rat,Rodentia,Muridae,,none
Tateomys rhinogradoides,Tate's Sulawesian Shrew Rat,Rodentia,Muridae,,none
Tonkinomys daovantieni,Daovantien's Limestone Rat,Rodentia,Muridae,,none
Tryphomys adustus,Luzon Short-nosed Rat,Rodentia,Muridae,,none
Waiomys mamasae,Mamasa Water Rat,Rodentia,Muridae,,none
Vernaya foramena,Apparent Climbing Mouse,Rodentia,Muridae,,none
Vernaya fulva,Vernay's Climbing Mouse,Rodentia,Muridae,,none
Vernaya meiguites,Meigu Climbing Mouse,Rodentia,Muridae,,none
Vernaya nushanensis,Nushan Climbing Mouse,Rodentia,Muridae,,none
Beamys hindei,Hinde's Long-tailed Pouched Rat,Rodentia,Nesomyidae,,none
Beamys major,Greater Long-tailed Pouched Rat,Rodentia,Nesomyidae,,none
Cricetomys ansorgei,Southern Giant Pouched Rat,Rodentia,Nesomyidae,,none
Cricetomys emini,Forest Giant Pouched Rat,Rodentia,Nesomyidae,,none
Cricetomys gambianus,Northern Giant Pouched Rat,Rodentia,Nesomyidae,,none
Cricetomys kivuensis,Kivu Giant Pouched Rat,Rodentia,Nesomyidae,,none
Saccostomus campestris,Southern African Pouched Mouse,Rodentia,Nesomyidae,,none
Saccostomus mearnsi,East African Pouched Mouse,Rodentia,Nesomyidae,,none
Saccostomus umbriventer,Gray-bellied Pouched Mouse,Rodentia,Nesomyidae,,none
Dendromus abyssinicus,Ethiopian African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus insignis,Montane African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus kahuziensis,Mount Kahuzi African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus kumasi,Kumasi African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus lachaisei,Lachaise's African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus leucostomus,Monard's African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus lovati,Lovat's African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus mesomelas,Brants's African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus messorius,Banana African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus mystacalis,Chestnut African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus nyasae,Kivu African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus oreas,Cameroon African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus pseudomystacalis,Ethiopian Highland African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus rogersi,Rogers' African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus ruppi,Rupp's African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendromus vernayi,Vernay's African Climbing Mouse,Rodentia,Nesomyidae,,none
Dendroprionomys rousseloti,Velvet African Climbing Mouse,Rodentia,Nesomyidae,,none
Malacothrix typica,Long-eared Desert Mouse,Rodentia,Nesomyidae,,none
Megadendromus nikolausi,Nikolaus's African Climbing Mouse,Rodentia,Nesomyidae,,none
Poemys melanotis,Gray African Climbing Mouse,Rodentia,Nesomyidae,,none
Poemys nyikae,Nyika African Climbing Mouse,Rodentia,Nesomyidae,,none
Poemys pecilei,Pecile's African Climbing Mouse,Rodentia,Nesomyidae,,none
Prionomys batesi,Bates's African Climbing Mouse,Rodentia,Nesomyidae,,none
Steatomys bocagei,Bocage's Fat Mouse,Rodentia,Nesomyidae,,none
Steatomys caurinus,Northwestern Fat Mouse,Rodentia,Nesomyidae,,none
Steatomys cuppedius,Dainty Fat Mouse,Rodentia,Nesomyidae,,none
Steatomys jacksoni,Jackson's Fat Mouse,Rodentia,Nesomyidae,,none
Steatomys krebsii,Krebs's Fat Mouse,Rodentia,Nesomyidae,,none
Steatomys opimus,Pousargues's Fat Mouse,Rodentia,Nesomyidae,,none
Steatomys parvus,Tiny Fat Mouse,Rodentia,Nesomyidae,,none
Steatomys pratensis,Common Fat Mouse,Rodentia,Nesomyidae,,none
Brachytarsomys albicauda,White-tailed Tree Rat,Rodentia,Nesomyidae,,none
Brachytarsomys villosus,Hairy-tailed Tree Rat,Rodentia,Nesomyidae,,none
Brachyuromys betsileoensis,Small Short-tailed Rat,Rodentia,Nesomyidae,,none
Brachyuromys ramirohitra,Large Short-tailed Rat,Rodentia,Nesomyidae,,none
Eliurus antsingy,Antsingy Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus carletoni,Carleton's Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus danieli,Daniel's Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus ellermani,Ellerman's Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus majori,Major's Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus minor,Lesser Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus myoxinus,Milne-Edwards's Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus penicillatus,White-tailed Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus tanala,Tanala Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus tsingimbato,Limestone Tufted-tail Rat,Rodentia,Nesomyidae,,none
Eliurus webbi,Webb's Tufted-tail Rat,Rodentia,Nesomyidae,,none
Gymnuromys roberti,Sleek-furred Ground Rat,Rodentia,Nesomyidae,,none
Hypogeomys antimena,Giant Jumping Rat,Rodentia,Nesomyidae,,none
Macrotarsomys bastardi,Bastard's Big-footed Mouse,Rodentia,Nesomyidae,,none
Macrotarsomys ingens,Ankarafantsika Big-footed Mouse,Rodentia,Nesomyidae,,none
Macrotarsomys petteri,Petter's Big-footed Mouse,Rodentia,Nesomyidae,,none
Monticolomys koopmani,Koopman's Forest Mouse,Rodentia,Nesomyidae,,none
Nesomys audeberti,Audebert's Forest Rat,Rodentia,Nesomyidae,,none
Nesomys lambertoni,Lamberton's Forest Rat,Rodentia,Nesomyidae,,none
Nesomys rufus,Red Forest Rat,Rodentia,Nesomyidae,,none
Voalavo antsahabensis,Anjozorobe Naked-tail Forest Mouse,Rodentia,Nesomyidae,,none
Voalavo grandidieri,Grandidier's Tufted-tail Rat,Rodentia,Nesomyidae,,none
Voalavo gymnocaudus,Northern Naked-tail Forest Mouse,Rodentia,Nesomyidae,,none
Voalavo petteri,Petter's Tufted-tail Rat,Rodentia,Nesomyidae,,none
Delanymys brooksi,Delany's Swamp Mouse,Rodentia,Nesomyidae,,none
Mystromys albicaudatus,African White-tailed Rat,Rodentia,Nesomyidae,,none
Petromyscus barbouri,Barbour's Pygmy Rock Mouse,Rodentia,Nesomyidae,,none
Petromyscus collinus,Common Pygmy Rock Mouse,Rodentia,Nesomyidae,,none
Petromyscus monticularis,Short-eared Pygmy Rock Mouse,Rodentia,Nesomyidae,,none
Petromyscus shortridgei,Shortridge's Pygmy Rock Mouse,Rodentia,Nesomyidae,,none
Platacanthomys lasiurus,Malabar Spiny Tree Mouse,Rodentia,Platacanthomyidae,,none
Typhlomys chapensis,Chapa Tree Mouse,Rodentia,Platacanthomyidae,,none
Typhlomys cinereus,Soft-furred Tree Mouse,Rodentia,Platacanthomyidae,,none
Typhlomys daloushanensis,Dalou Mountains Tree Mouse,Rodentia,Platacanthomyidae,,none
Typhlomys fengjiensis,Fengjie Tree Mouse,Rodentia,Platacanthomyidae,,none
Typhlomys huangshanensis,Huangshan Tree Mouse,Rodentia,Platacanthomyidae,,none
Typhlomys nanus,Dwarf Tree Mouse,Rodentia,Platacanthomyidae,,none
Typhlomys taxuansis,Southern Tree Mouse,Rodentia,Platacanthomyidae,,none
Typhlomys zhengkuni,Fanjing Mountain Tree Mouse,Rodentia,Platacanthomyidae,,none
Eospalax baileyi,Plateau Zokor,Rodentia,Spalacidae,,none
Eospalax cansus,Gansu Zokor,Rodentia,Spalacidae,,none
Eospalax fontanierii,Fontanier's Zokor,Rodentia,Spalacidae,,none
Eospalax minshanensis,Minshan Mountain Zokor,Rodentia,Spalacidae,,none
Eospalax muliensis,Muli Zokor,Rodentia,Spalacidae,,none
Eospalax rothschildi,Rothschild's Zokor,Rodentia,Spalacidae,,none
Eospalax rufescens,Qinling Zokor,Rodentia,Spalacidae,,none
Eospalax smithii,Smith's Zokor,Rodentia,Spalacidae,,none
Myospalax armandii,Armand's Zokor,Rodentia,Spalacidae,,none
Myospalax aspalax,Steppe Zokor,Rodentia,Spalacidae,,none
Myospalax epsilanus,Khingan Zokor,Rodentia,Spalacidae,,none
Myospalax myospalax,Altai Zokor,Rodentia,Spalacidae,,none
Myospalax psilurus,Manchurian Zokor,Rodentia,Spalacidae,,none
Cannomys badius,Lesser Bamboo Rat,Rodentia,Spalacidae,,none
Rhizomys pruinosus,Hoary Bamboo Rat,Rodentia,Spalacidae,,none
Rhizomys sinensis,Chinese Bamboo Rat,Rodentia,Spalacidae,,none
Rhizomys sumatrensis,Indomalayan Bamboo Rat,Rodentia,Spalacidae,,none
Tachyoryctes macrocephalus,Giant Root Rat,Rodentia,Spalacidae,,none
Tachyoryctes splendens,African Root Rat,Rodentia,Spalacidae,,none
Nannospalax bulgaricus,Bulgarian Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax ceyhanus,Ceyhan Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax cilicicus,Central Anatolian Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax colaki,Çolak's Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax ehrenbergi,Levantine Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax garzanensis,Garzan Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax hellenicus,Hellenic Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax hungaricus,Hungarian Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax insularis,Limnos Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax intermedius,Intermediate Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax karyominor,Kuseyr Plateau Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax leucodon,Lesser Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax montanoserbicus,Central Serbian Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax montanosyrmiensis,North Serbian Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax monticola,Montane Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax nehringi,Nehring's Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax serbicus,South Serbian Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax tuncelicus,Tunceli Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax turcicus,Thracean Blind Mole-rat,Rodentia,Spalacidae,,none
Nannospalax xanthodon,Western Anatolian Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax antiquus,Mehely's Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax arenarius,Sandy Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax giganteus,Giant Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax graecus,Bukovina Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax istricus,Oltenia Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax lyapunovae,Lyapunova’s Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax microphthalmus,Greater Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax uralensis,Kazakhstan Blind Mole-rat,Rodentia,Spalacidae,,none
Spalax zemni,Podolsk Blind Mole-rat,Rodentia,Spalacidae,,none
Atelerix albiventris,Four-toed Hedgehog,Eulipotyphla,Erinaceidae,,none
Atelerix algirus,North African Hedgehog,Eulipotyphla,Erinaceidae,,none
Atelerix frontalis,Southern African Hedgehog,Eulipotyphla,Erinaceidae,,none
Atelerix sclateri,Somali Hedgehog,Eulipotyphla,Erinaceidae,,none
Erinaceus amurensis,Amur Hedgehog,Eulipotyphla,Erinaceidae,,none
Erinaceus concolor,Southern White-breasted Hedgehog,Eulipotyphla,Erinaceidae,,none
Erinaceus europaeus,West European Hedgehog,Eulipotyphla,Erinaceidae,Erinaceus europaeus_Common Hedgehog,exact
Erinaceus roumanicus,Northern White-breasted Hedgehog,Eulipotyphla,Erinaceidae,Erinaceus roumanicus_Northern White-breasted Hedgehog,exact
Hemiechinus auritus,Common Long-eared Hedgehog,Eulipotyphla,Erinaceidae,Hemiechinus auritus_Long-eared Hedgehog,exact
Hemiechinus collaris,Indian Long-eared Hedgehog,Eulipotyphla,Erinaceidae,,none
Mesechinus dauuricus,Daurian Hedgehog,Eulipotyphla,Erinaceidae,,none
Mesechinus hughi,Hugh's Hedgehog,Eulipotyphla,Erinaceidae,,none
Mesechinus miodon,Small-toothed Forest Hedgehog,Eulipotyphla,Erinaceidae,,none
Mesechinus orientalis,Eastern Forest Hedgehog,Eulipotyphla,Erinaceidae,,none
Mesechinus wangi,Wang's Forest Hedgehog,Eulipotyphla,Erinaceidae,,none
Paraechinus aethiopicus,Desert Hedgehog,Eulipotyphla,Erinaceidae,,none
Paraechinus hypomelas,Brandt's Hedgehog,Eulipotyphla,Erinaceidae,,none
Paraechinus micropus,Indian Hedgehog,Eulipotyphla,Erinaceidae,,none
Paraechinus nudiventris,Bare-bellied Hedgehog,Eulipotyphla,Erinaceidae,,none
Echinosorex gymnura,Moonrat,Eulipotyphla,Erinaceidae,,none
Podogymnura aureospinula,Dinagat Gymnure,Eulipotyphla,Erinaceidae,,none
Podogymnura intermedia,Eastern Mindanao Gymnure,Eulipotyphla,Erinaceidae,,none
Podogymnura minima,Kitanglad Gymnure,Eulipotyphla,Erinaceidae,,none
Podogymnura truei,Mount Apo Gymnure,Eulipotyphla,Erinaceidae,,none
Hylomys dorsalis,Bornean Short-tailed Gymnure,Eulipotyphla,Erinaceidae,,none
Hylomys macarong,Dalat Gymnure,Eulipotyphla,Erinaceidae,,none
Hylomys maxi,Max's Short-tailed Gymnure,Eulipotyphla,Erinaceidae,,none
Hylomys parvus,Dwarf Gymnure,Eulipotyphla,Erinaceidae,,none
Hylomys peguensis,Northern Short-tailed Gymnure,Eulipotyphla,Erinaceidae,,none
Hylomys suillus,Javan Short-tailed Gymnure,Eulipotyphla,Erinaceidae,,none
Hylomys vorax,Leuser Gymnure,Eulipotyphla,Erinaceidae,,none
Neohylomys hainanensis,Hainan Gymnure,Eulipotyphla,Erinaceidae,,none
Neohylomys vietnamensis,Vietnam Gymnure,Eulipotyphla,Erinaceidae,,none
Neotetracus sinensis,Shrew Gymnure,Eulipotyphla,Erinaceidae,,none
Otohylomys megalotis,Long-eared Gymnure,Eulipotyphla,Erinaceidae,,none
Crocidura abscondita,Javan Long-tailed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura aequicauda,Mount Korinchi White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura afeworkbekelei,Bekele's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura aleksandrisi,Cyrenaica White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura allex,East African Highland White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura andamanensis,Andaman White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura anhuiensis,Anhui White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura annamitensis,Annamite White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura ansellorum,Ansells' White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura arabica,Arabian White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura arispa,Jackass White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura armenica,Armenian White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura attenuata,Asian Gray White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura attila,Hun White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura australis,Southwest Peninsula White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura baileyi,Bailey's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura baletei,Balete's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura balingka,Balingka White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura baluensis,Kinabalu White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura barapi,Barapi White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura batakorum,Batak White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura beata,Mindanao White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura beccarii,Beccari's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura binco,short-tailed Salonga White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura bloyeti,Bloyet's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura bottegi,Bottego's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura bottegoides,Bale White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura brevicauda,Short-tailed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura brunnea,Thick-tailed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura buettikoferi,Büttikofer's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura caliginea,African Dusky White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura canariensis,Canarian White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura caspica,Caspian White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura caudicrassa,Thick-tailed Sulawesi White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura caudipilosa,Hairy-tailed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura cinderella,Cinderella White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura congobelgica,Congo White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura cranbrooki,Cranbrook's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura crenata,Long-footed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura crossei,Crosse's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura cyanea,Reddish-gray White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura cypria,Cyprus White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura darvishi,Darvish's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura denti,Dent's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura desperata,Desperate White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura dewi,Dewi White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura dhofarensis,Dhofar White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura dolichura,Long-tailed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura douceti,Doucet's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura dracula,Large White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura dsinezumi,Dsinezumi White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura eburnea,Ivory Coast White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura eisentrauti,Eisentraut's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura elgonius,Elgon White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura elongata,Northern Elongated White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura erica,Heather White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura fimbriata,South European White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura fingui,Fingui White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura fischeri,Fischer's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura flavescens,Greater Red White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura floweri,Flower's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura foetida,Bornean White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura foxi,Fox's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura fuliginosa,Southeast Asian White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura fulvastra,Savanna White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura fumosa,Smoky White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura fuscomurina,Bicolored African White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura gathornei,Gathorne's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura glassi,Glass's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura goliath,Goliath White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura gracilipes,Peters's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura grandiceps,Large-headed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura grandis,Mount Malindang White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura grassei,Grasse's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura grayi,Luzon White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura greenwoodi,Greenwood's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura gueldenstaedtii,Güldenstädt's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura guy,Vietnamese White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura harenna,Harenna White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura hikmiya,Sinharaja White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura hildegardeae,Hildegarde's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura hilliana,Hill's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura hirta,Lesser Red White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura hispida,Andaman Spiny White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura horsfieldii,Horsfield's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura huangshanensis,Huangshan White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura hutanis,Hutan White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura iculisma,Iberian White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura indochinensis,Indochinese White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura jacksoni,Jackson's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura jenkinsi,Jenkins's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura jouvenetae,Jouvenet's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura katinka,Katinka's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura kegoensis,Ke Go White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura lamottei,Lamotte's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura lanosa,Kivu Long-haired White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura lasiura,Ussuri White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura latona,Latona's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura lea,Lesser Black-footed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura lepidura,Sumatran Giant White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura leucodon,Bicolored White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura levicula,Sulawesi Tiny White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura littoralis,Naked-tailed White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura longipes,Savanna White-toothed Swamp Shrew,Eulipotyphla,Soricidae,,none
Crocidura lucina,Lucina's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura ludia,Dramatic White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura luna,Moonshine White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura lusitania,Mauritanian White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura lwiroensis,Misotshi-Kabogo White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura macarthuri,MacArthur's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura macmillani,Macmillan's White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura macowi,Nyiro White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura makeda,Makeda White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura malayana,Malayan White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura manengubae,Manenguba White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura maquassiensis,Makwassie White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura mariquensis,Swamp White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura maurisca,Gracile White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura maxi,Javan White-toothed Shrew,Eulipotyphla,Soricidae,,none
Crocidura mdumai,Mduma's White-toothed Shrew,Eulipotyphla,Soricidae,,none
