scientific,common,order,family,tol_name,tol_how,birdnet_label,birdnet_how
Lophophorus lhuysii,Chinese Monal,Galliformes,Phasianidae,Lophophorus lhuysii,exact,Lophophorus lhuysii_Chinese Monal,exact
Rhizothera longirostris,Long-billed Partridge,Galliformes,Phasianidae,Rhizothera longirostris,exact,Rhizothera longirostris_Long-billed Partridge,exact
Rhizothera dulitensis,Dulit Partridge,Galliformes,Phasianidae,,none,,none
Pucrasia macrolopha,Koklass Pheasant,Galliformes,Phasianidae,Pucrasia macrolopha,exact,Pucrasia macrolopha_Koklass Pheasant,exact
Meleagris ocellata,Ocellated Turkey,Galliformes,Phasianidae,Meleagris ocellata,exact,Meleagris ocellata_Ocellated Turkey,exact
Meleagris gallopavo,Wild Turkey,Galliformes,Phasianidae,Meleagris gallopavo,exact,Meleagris gallopavo_Wild Turkey,exact
Bonasa umbellus,Ruffed Grouse,Galliformes,Phasianidae,Bonasa umbellus,exact,Bonasa umbellus_Ruffed Grouse,exact
Tetrastes sewerzowi,Chinese Grouse,Galliformes,Phasianidae,Tetrastes sewerzowi,exact,Tetrastes sewerzowi_Chinese Grouse,exact
Tetrastes bonasia,Hazel Grouse,Galliformes,Phasianidae,Tetrastes bonasia,exact,Tetrastes bonasia_Hazel Grouse,exact
Centrocercus urophasianus,Sage Grouse,Galliformes,Phasianidae,Centrocercus urophasianus,exact,Centrocercus urophasianus_Sage Grouse,exact
Centrocercus minimus,Gunnison Grouse,Galliformes,Phasianidae,Centrocercus minimus,exact,Centrocercus minimus_Gunnison Grouse,exact
Dendragapus fuliginosus,Sooty Grouse,Galliformes,Phasianidae,Dendragapus fuliginosus,exact,Dendragapus fuliginosus_Sooty Grouse,exact
Dendragapus obscurus,Dusky Grouse,Galliformes,Phasianidae,Dendragapus obscurus,exact,Dendragapus obscurus_Dusky Grouse,exact
Tympanuchus phasianellus,Sharp-tailed Grouse,Galliformes,Phasianidae,Tympanuchus phasianellus,exact,Tympanuchus phasianellus_Sharp-tailed Grouse,exact
Tympanuchus cupido,Greater Prairie Chicken,Galliformes,Phasianidae,Tympanuchus cupido,exact,Tympanuchus cupido_Greater Prairie Chicken,exact
Tympanuchus pallidicinctus,Lesser Prairie Chicken,Galliformes,Phasianidae,Tympanuchus pallidicinctus,exact,Tympanuchus pallidicinctus_Lesser Prairie Chicken,exact
Lagopus leucura,White-tailed Ptarmigan,Galliformes,Phasianidae,Lagopus leucura,exact,Lagopus leucura_White-tailed Ptarmigan,exact
Lagopus muta,Rock Ptarmigan,Galliformes,Phasianidae,Lagopus muta,exact,Lagopus muta_Rock Ptarmigan,exact
Lagopus scotica,Red Grouse,Galliformes,Phasianidae,,none,Lagopus scotica_Red Grouse,exact
Lagopus lagopus,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus lagopus,exact,Lagopus lagopus_Willow Ptarmigan,exact
Falcipennis falcipennis,Siberian Grouse,Galliformes,Phasianidae,Falcipennis falcipennis,exact,Falcipennis falcipennis_Siberian Grouse,exact
Canachites canadensis,Spruce Grouse,Galliformes,Phasianidae,Canachites canadensis,exact,Canachites canadensis_Spruce Grouse,exact
Tetrao urogalloides,Black-billed Capercaillie,Galliformes,Phasianidae,Tetrao urogalloides,exact,Tetrao urogalloides_Black-billed Capercaillie,exact
Tetrao urogallus,Western Capercaillie,Galliformes,Phasianidae,Tetrao urogallus,exact,Tetrao urogallus_Western Capercaillie,exact
Lyrurus mlokosiewiczi,Caucasian Grouse,Galliformes,Phasianidae,Lyrurus mlokosiewiczi,exact,Lyrurus mlokosiewiczi_Caucasian Grouse,exact
Lyrurus tetrix,Black Grouse,Galliformes,Phasianidae,Lyrurus tetrix,exact,Lyrurus tetrix_Black Grouse,exact
Perdix hodgsoniae,Tibetan Partridge,Galliformes,Phasianidae,Perdix hodgsoniae,exact,Perdix hodgsoniae_Tibetan Partridge,exact
Perdix dauurica,Daurian Partridge,Galliformes,Phasianidae,Perdix dauurica,exact,Perdix dauurica_Daurian Partridge,exact
Perdix perdix,Grey Partridge,Galliformes,Phasianidae,Perdix perdix,exact,Perdix perdix_Grey Partridge,exact
Syrmaticus soemmerringii,Copper Pheasant,Galliformes,Phasianidae,Syrmaticus soemmerringii,exact,Syrmaticus soemmerringii_Copper Pheasant,exact
Syrmaticus reevesii,Reeves's Pheasant,Galliformes,Phasianidae,Syrmaticus reevesii,exact,Syrmaticus reevesii_Reeves's Pheasant,exact
Syrmaticus mikado,Mikado Pheasant,Galliformes,Phasianidae,Syrmaticus mikado,exact,Syrmaticus mikado_Mikado Pheasant,exact
Syrmaticus ellioti,Elliot's Pheasant,Galliformes,Phasianidae,Syrmaticus ellioti,exact,Syrmaticus ellioti_Elliot's Pheasant,exact
Syrmaticus humiae,Mrs. Hume's Pheasant,Galliformes,Phasianidae,Syrmaticus humiae,exact,Syrmaticus humiae_Mrs. Hume's Pheasant,exact
Chrysolophus pictus,Golden Pheasant,Galliformes,Phasianidae,Chrysolophus pictus,exact,Chrysolophus pictus_Golden Pheasant,exact
Chrysolophus amherstiae,Lady Amherst's Pheasant,Galliformes,Phasianidae,Chrysolophus amherstiae,exact,Chrysolophus amherstiae_Lady Amherst's Pheasant,exact
Phasianus versicolor,Green Pheasant,Galliformes,Phasianidae,Phasianus versicolor,exact,Phasianus versicolor_Green Pheasant,exact
Phasianus colchicus,Common Pheasant,Galliformes,Phasianidae,Phasianus colchicus,exact,Phasianus colchicus_Common Pheasant,exact
Catreus wallichii,Cheer Pheasant,Galliformes,Phasianidae,Catreus wallichii,exact,Catreus wallichii_Cheer Pheasant,exact
Crossoptilon harmani,Tibetan Eared Pheasant,Galliformes,Phasianidae,Crossoptilon harmani,exact,Crossoptilon harmani_Tibetan Eared Pheasant,exact
Crossoptilon crossoptilon,White Eared Pheasant,Galliformes,Phasianidae,Crossoptilon crossoptilon,exact,Crossoptilon crossoptilon_White Eared Pheasant,exact
Crossoptilon mantchuricum,Brown Eared Pheasant,Galliformes,Phasianidae,Crossoptilon mantchuricum,exact,Crossoptilon mantchuricum_Brown Eared Pheasant,exact
Crossoptilon auritum,Blue Eared Pheasant,Galliformes,Phasianidae,Crossoptilon auritum,exact,Crossoptilon auritum_Blue Eared Pheasant,exact
Lophura edwardsi,Edwards's Pheasant,Galliformes,Phasianidae,Lophura edwardsi,exact,,none
Lophura swinhoii,Swinhoe's Pheasant,Galliformes,Phasianidae,Lophura swinhoii,exact,Lophura swinhoii_Swinhoe's Pheasant,exact
Lophura bulweri,Bulwer's Pheasant,Galliformes,Phasianidae,Lophura bulweri,exact,Lophura bulweri_Bulwer's Pheasant,exact
Lophura leucomelanos,Kalij Pheasant,Galliformes,Phasianidae,Lophura leucomelanos,exact,Lophura leucomelanos_Kalij Pheasant,exact
Lophura nycthemera,Silver Pheasant,Galliformes,Phasianidae,Lophura nycthemera,exact,Lophura nycthemera_Silver Pheasant,exact
Lophura erythrophthalma,Malayan Crestless Fireback,Galliformes,Phasianidae,Lophura erythrophthalma,exact,Lophura erythrophthalma_Malayan Crestless Fireback,exact
Lophura pyronota,Bornean Crestless Fireback,Galliformes,Phasianidae,,none,Lophura pyronota_Bornean Crestless Fireback,exact
Lophura diardi,Siamese Fireback,Galliformes,Phasianidae,Lophura diardi,exact,Lophura diardi_Siamese Fireback,exact
Lophura inornata,Salvadori's Pheasant,Galliformes,Phasianidae,Lophura inornata,exact,Lophura inornata_Salvadori's Pheasant,exact
Lophura rufa,Malayan Crested Fireback,Galliformes,Phasianidae,,none,Lophura rufa_Malayan Crested Fireback,exact
Lophura ignita,Bornean Crested Fireback,Galliformes,Phasianidae,Lophura ignita,exact,Lophura ignita_Bornean Crested Fireback,exact
Argusianus argus,Great Argus,Galliformes,Phasianidae,Argusianus argus,exact,Argusianus argus_Great Argus,exact
Rheinardia ocellata,Vietnamese Crested Argus,Galliformes,Phasianidae,Rheinardia ocellata,exact,Rheinardia ocellata_Vietnamese Crested Argus,exact
Rheinardia nigrescens,Malayan Crested Argus,Galliformes,Phasianidae,Rheinardia nigrescens,exact,,none
Afropavo congensis,Congo Peafowl,Galliformes,Phasianidae,Afropavo congensis,exact,Afropavo congensis_Congo Peafowl,exact
Pavo cristatus,Indian Peafowl,Galliformes,Phasianidae,Pavo cristatus,exact,Pavo cristatus_Indian Peafowl,exact
Pavo muticus,Green Peafowl,Galliformes,Phasianidae,Pavo muticus,exact,Pavo muticus_Green Peafowl,exact
Tropicoperdix chloropus,Green-legged Partridge,Galliformes,Phasianidae,Tropicoperdix chloropus,exact,Tropicoperdix chloropus_Green-legged Partridge,exact
Tropicoperdix charltonii,Chestnut-necklaced Partridge,Galliformes,Phasianidae,Tropicoperdix charltonii,exact,Tropicoperdix charltonii_Chestnut-necklaced Partridge,exact
Tropicoperdix graydoni,Sabah Partridge,Galliformes,Phasianidae,,none,Tropicoperdix graydoni_Sabah Partridge,exact
Haematortyx sanguiniceps,Crimson-headed Partridge,Galliformes,Phasianidae,Haematortyx sanguiniceps,exact,Haematortyx sanguiniceps_Crimson-headed Partridge,exact
Galloperdix spadicea,Red Spurfowl,Galliformes,Phasianidae,Galloperdix spadicea,exact,Galloperdix spadicea_Red Spurfowl,exact
Galloperdix lunulata,Painted Spurfowl,Galliformes,Phasianidae,Galloperdix lunulata,exact,Galloperdix lunulata_Painted Spurfowl,exact
Galloperdix bicalcarata,Sri Lanka Spurfowl,Galliformes,Phasianidae,Galloperdix bicalcarata,exact,Galloperdix bicalcarata_Sri Lanka Spurfowl,exact
Polyplectron napoleonis,Palawan Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron napoleonis,exact,Polyplectron napoleonis_Palawan Peacock-Pheasant,exact
Polyplectron schleiermacheri,Bornean Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron schleiermacheri,exact,Polyplectron schleiermacheri_Bornean Peacock-Pheasant,exact
Polyplectron malacense,Malayan Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron malacense,exact,Polyplectron malacense_Malayan Peacock-Pheasant,exact
Polyplectron germaini,Germain's Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron germaini,exact,Polyplectron germaini_Germain's Peacock-Pheasant,exact
Polyplectron katsumatae,Hainan Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron katsumatae,exact,Polyplectron katsumatae_Hainan Peacock-Pheasant,exact
Polyplectron bicalcaratum,Grey Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron bicalcaratum,exact,Polyplectron bicalcaratum_Grey Peacock-Pheasant,exact
Polyplectron inopinatum,Mountain Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron inopinatum,exact,Polyplectron inopinatum_Mountain Peacock-Pheasant,exact
Polyplectron chalcurum,Sumatran Peacock-Pheasant,Galliformes,Phasianidae,Polyplectron chalcurum,exact,Polyplectron chalcurum_Sumatran Peacock-Pheasant,exact
Bambusicola fytchii,Mountain Bamboo Partridge,Galliformes,Phasianidae,Bambusicola fytchii,exact,Bambusicola fytchii_Mountain Bamboo Partridge,exact
Bambusicola thoracicus,Chinese Bamboo Partridge,Galliformes,Phasianidae,Bambusicola thoracicus,exact,Bambusicola thoracicus_Chinese Bamboo Partridge,exact
Bambusicola sonorivox,Taiwan Bamboo Partridge,Galliformes,Phasianidae,Bambusicola sonorivox,exact,Bambusicola sonorivox_Taiwan Bamboo Partridge,exact
Gallus varius,Green Junglefowl,Galliformes,Phasianidae,Gallus varius,exact,Gallus varius_Green Junglefowl,exact
Gallus gallus,Red Junglefowl,Galliformes,Phasianidae,Gallus gallus,exact,Gallus gallus_Red Junglefowl,exact
Gallus sonneratii,Grey Junglefowl,Galliformes,Phasianidae,Gallus sonneratii,exact,Gallus sonneratii_Grey Junglefowl,exact
Gallus lafayettii,Sri Lanka Junglefowl,Galliformes,Phasianidae,Gallus lafayettii,exact,Gallus lafayettii_Sri Lanka Junglefowl,exact
Peliperdix lathami,Latham's Francolin,Galliformes,Phasianidae,Peliperdix lathami,exact,Peliperdix lathami_Latham's Francolin,exact
Campocolinus coqui,Coqui Francolin,Galliformes,Phasianidae,Campocolinus coqui,exact,Campocolinus coqui_Coqui Francolin,exact
Campocolinus albogularis,White-throated Francolin,Galliformes,Phasianidae,Campocolinus albogularis,exact,Campocolinus albogularis_White-throated Francolin,exact
Campocolinus schlegelii,Schlegel's Francolin,Galliformes,Phasianidae,Campocolinus schlegelii,exact,Campocolinus schlegelii_Schlegel's Francolin,exact
Scleroptila streptophora,Ring-necked Francolin,Galliformes,Phasianidae,Scleroptila streptophora,exact,Scleroptila streptophora_Ring-necked Francolin,exact
Scleroptila levaillantii,Red-winged Francolin,Galliformes,Phasianidae,Scleroptila levaillantii,exact,Scleroptila levaillantii_Red-winged Francolin,exact
Scleroptila finschi,Finsch's Francolin,Galliformes,Phasianidae,Scleroptila finschi,exact,Scleroptila finschi_Finsch's Francolin,exact
Scleroptila psilolaema,Moorland Francolin,Galliformes,Phasianidae,Scleroptila psilolaema,exact,Scleroptila psilolaema_Moorland Francolin,exact
Scleroptila elgonensis,Elgon Francolin,Galliformes,Phasianidae,,none,Scleroptila elgonensis_Elgon Francolin,exact
Scleroptila afra,Grey-winged Francolin,Galliformes,Phasianidae,Scleroptila afra,exact,Scleroptila afra_Grey-winged Francolin,exact
Scleroptila gutturalis,Orange River Francolin,Galliformes,Phasianidae,Scleroptila gutturalis,exact,Scleroptila gutturalis_Orange River Francolin,exact
Scleroptila shelleyi,Shelley's Francolin,Galliformes,Phasianidae,Scleroptila shelleyi,exact,Scleroptila shelleyi_Shelley's Francolin,exact
Scleroptila whytei,Whyte's Francolin,Galliformes,Phasianidae,,none,Scleroptila whytei_Whyte's Francolin,exact
Ortygornis sephaena,Crested Francolin,Galliformes,Phasianidae,Ortygornis sephaena,exact,Ortygornis sephaena_Crested Francolin,exact
Ortygornis gularis,Swamp Francolin,Galliformes,Phasianidae,Ortygornis gularis,exact,Ortygornis gularis_Swamp Francolin,exact
Ortygornis pondicerianus,Grey Francolin,Galliformes,Phasianidae,Ortygornis pondicerianus,exact,Ortygornis pondicerianus_Grey Francolin,exact
Francolinus pintadeanus,Chinese Francolin,Galliformes,Phasianidae,Francolinus pintadeanus,exact,Francolinus pintadeanus_Chinese Francolin,exact
Francolinus pictus,Painted Francolin,Galliformes,Phasianidae,Francolinus pictus,exact,Francolinus pictus_Painted Francolin,exact
Francolinus francolinus,Black Francolin,Galliformes,Phasianidae,Francolinus francolinus,exact,Francolinus francolinus_Black Francolin,exact
Tetraogallus tibetanus,Tibetan Snowcock,Galliformes,Phasianidae,Tetraogallus tibetanus,exact,Tetraogallus tibetanus_Tibetan Snowcock,exact
Tetraogallus altaicus,Altai Snowcock,Galliformes,Phasianidae,Tetraogallus altaicus,exact,Tetraogallus altaicus_Altai Snowcock,exact
Tetraogallus caucasicus,Caucasian Snowcock,Galliformes,Phasianidae,Tetraogallus caucasicus,exact,Tetraogallus caucasicus_Caucasian Snowcock,exact
Tetraogallus caspius,Caspian Snowcock,Galliformes,Phasianidae,Tetraogallus caspius,exact,Tetraogallus caspius_Caspian Snowcock,exact
Tetraogallus himalayensis,Himalayan Snowcock,Galliformes,Phasianidae,Tetraogallus himalayensis,exact,Tetraogallus himalayensis_Himalayan Snowcock,exact
Ammoperdix griseogularis,See-see Partridge,Galliformes,Phasianidae,Ammoperdix griseogularis,exact,Ammoperdix griseogularis_See-see Partridge,exact
Ammoperdix heyi,Sand Partridge,Galliformes,Phasianidae,Ammoperdix heyi,exact,Ammoperdix heyi_Sand Partridge,exact
Synoicus ypsilophorus,Brown Quail,Galliformes,Phasianidae,Synoicus ypsilophorus,exact,Synoicus ypsilophorus_Brown Quail,exact
Synoicus monorthonyx,Snow Mountain Quail,Galliformes,Phasianidae,Synoicus monorthonyx,exact,,none
Synoicus chinensis,King Quail,Galliformes,Phasianidae,Synoicus chinensis,exact,Synoicus chinensis_King Quail,exact
Synoicus adansonii,Blue Quail,Galliformes,Phasianidae,,none,Synoicus adansonii_Blue Quail,exact
Margaroperdix madagarensis,Madagascar Partridge,Galliformes,Phasianidae,Margaroperdix madagarensis,exact,Margaroperdix madagarensis_Madagascar Partridge,exact
Coturnix japonica,Japanese Quail,Galliformes,Phasianidae,Coturnix japonica,exact,Coturnix japonica_Japanese Quail,exact
Coturnix coturnix,Common Quail,Galliformes,Phasianidae,Coturnix coturnix,exact,Coturnix coturnix_Common Quail,exact
Coturnix coromandelica,Rain Quail,Galliformes,Phasianidae,Coturnix coromandelica,exact,Coturnix coromandelica_Rain Quail,exact
Coturnix delegorguei,Harlequin Quail,Galliformes,Phasianidae,Coturnix delegorguei,exact,Coturnix delegorguei_Harlequin Quail,exact
Coturnix novaezelandiae,New Zealand Quail,Galliformes,Phasianidae,Coturnix novaezelandiae,exact,,none
Coturnix pectoralis,Stubble Quail,Galliformes,Phasianidae,Coturnix pectoralis,exact,Coturnix pectoralis_Stubble Quail,exact
Alectoris barbara,Barbary Partridge,Galliformes,Phasianidae,Alectoris barbara,exact,Alectoris barbara_Barbary Partridge,exact
Alectoris melanocephala,Arabian Partridge,Galliformes,Phasianidae,Alectoris melanocephala,exact,Alectoris melanocephala_Arabian Partridge,exact
Alectoris rufa,Red-legged Partridge,Galliformes,Phasianidae,Alectoris rufa,exact,Alectoris rufa_Red-legged Partridge,exact
Alectoris chukar,Chukar Partridge,Galliformes,Phasianidae,Alectoris chukar,exact,Alectoris chukar_Chukar Partridge,exact
Alectoris graeca,Rock Partridge,Galliformes,Phasianidae,Alectoris graeca,exact,Alectoris graeca_Rock Partridge,exact
Alectoris philbyi,Philby's Partridge,Galliformes,Phasianidae,Alectoris philbyi,exact,Alectoris philbyi_Philby's Partridge,exact
Alectoris magna,Przevalski's Partridge,Galliformes,Phasianidae,Alectoris magna,exact,Alectoris magna_Przevalski's Partridge,exact
Ophrysia superciliosa,Himalayan Quail,Galliformes,Phasianidae,Ophrysia superciliosa,exact,,none
Perdicula asiatica,Jungle Bush Quail,Galliformes,Phasianidae,Perdicula asiatica,exact,Perdicula asiatica_Jungle Bush Quail,exact
Perdicula argoondah,Rock Bush Quail,Galliformes,Phasianidae,Perdicula argoondah,exact,Perdicula argoondah_Rock Bush Quail,exact
Perdicula erythrorhyncha,Painted Bush Quail,Galliformes,Phasianidae,Perdicula erythrorhyncha,exact,Perdicula erythrorhyncha_Painted Bush Quail,exact
Perdicula manipurensis,Manipur Bush Quail,Galliformes,Phasianidae,Perdicula manipurensis,exact,,none
Pternistis hartlaubi,Hartlaub's Spurfowl,Galliformes,Phasianidae,Pternistis hartlaubi,exact,Pternistis hartlaubi_Hartlaub's Spurfowl,exact
Pternistis nobilis,Handsome Spurfowl,Galliformes,Phasianidae,Pternistis nobilis,exact,Pternistis nobilis_Handsome Spurfowl,exact
Pternistis camerunensis,Mount Cameroon Spurfowl,Galliformes,Phasianidae,,none,,none
Pternistis castaneicollis,Chestnut-naped Spurfowl,Galliformes,Phasianidae,Pternistis castaneicollis,exact,Pternistis castaneicollis_Chestnut-naped Spurfowl,exact
Pternistis erckelii,Erckel's Spurfowl,Galliformes,Phasianidae,Pternistis erckelii,exact,Pternistis erckelii_Erckel's Spurfowl,exact
Pternistis ochropectus,Djibouti Spurfowl,Galliformes,Phasianidae,Pternistis ochropectus,exact,,none
Pternistis swierstrai,Swierstra's Spurfowl,Galliformes,Phasianidae,Pternistis swierstrai,exact,Pternistis swierstrai_Swierstra's Spurfowl,exact
Pternistis ahantensis,Ahanta Spurfowl,Galliformes,Phasianidae,Pternistis ahantensis,exact,Pternistis ahantensis_Ahanta Spurfowl,exact
Pternistis griseostriatus,Grey-striped Spurfowl,Galliformes,Phasianidae,Pternistis griseostriatus,exact,Pternistis griseostriatus_Grey-striped Spurfowl,exact
Pternistis jacksoni,Jackson's Spurfowl,Galliformes,Phasianidae,Pternistis jacksoni,exact,Pternistis jacksoni_Jackson's Spurfowl,exact
Pternistis capensis,Cape Spurfowl,Galliformes,Phasianidae,Pternistis capensis,exact,Pternistis capensis_Cape Spurfowl,exact
Pternistis adspersus,Red-billed Spurfowl,Galliformes,Phasianidae,Pternistis adspersus,exact,Pternistis adspersus_Red-billed Spurfowl,exact
Pternistis natalensis,Natal Spurfowl,Galliformes,Phasianidae,Pternistis natalensis,exact,Pternistis natalensis_Natal Spurfowl,exact
Pternistis hildebrandti,Hildebrandt's Spurfowl,Galliformes,Phasianidae,Pternistis hildebrandti,exact,Pternistis hildebrandti_Hildebrandt's Spurfowl,exact
Pternistis bicalcaratus,Double-spurred Spurfowl,Galliformes,Phasianidae,Pternistis bicalcaratus,exact,Pternistis bicalcaratus_Double-spurred Spurfowl,exact
Pternistis icterorhynchus,Heuglin's Spurfowl,Galliformes,Phasianidae,Pternistis icterorhynchus,exact,Pternistis icterorhynchus_Heuglin's Spurfowl,exact
Pternistis squamatus,Scaly Spurfowl,Galliformes,Phasianidae,Pternistis squamatus,exact,Pternistis squamatus_Scaly Spurfowl,exact
Pternistis harwoodi,Harwood's Spurfowl,Galliformes,Phasianidae,Pternistis harwoodi,exact,Pternistis harwoodi_Harwood's Spurfowl,exact
Pternistis clappertoni,Clapperton's Spurfowl,Galliformes,Phasianidae,Pternistis clappertoni,exact,Pternistis clappertoni_Clapperton's Spurfowl,exact
Pternistis swainsonii,Swainson's Spurfowl,Galliformes,Phasianidae,Pternistis swainsonii,exact,Pternistis swainsonii_Swainson's Spurfowl,exact
Pternistis leucoscepus,Yellow-necked Spurfowl,Galliformes,Phasianidae,Pternistis leucoscepus,exact,Pternistis leucoscepus_Yellow-necked Spurfowl,exact
Pternistis rufopictus,Grey-breasted Spurfowl,Galliformes,Phasianidae,Pternistis rufopictus,exact,Pternistis rufopictus_Grey-breasted Spurfowl,exact
Pternistis afer,Red-necked Spurfowl,Galliformes,Phasianidae,Pternistis afer,exact,Pternistis afer_Red-necked Spurfowl,exact
Phoeniconaias minor,Lesser Flamingo,Phoenicopteriformes,Phoenicopteridae,Phoeniconaias minor,exact,Phoeniconaias minor_Lesser Flamingo,exact
Phoenicoparrus andinus,Andean Flamingo,Phoenicopteriformes,Phoenicopteridae,Phoenicoparrus andinus,exact,Phoenicoparrus andinus_Andean Flamingo,exact
Phoenicoparrus jamesi,James's Flamingo,Phoenicopteriformes,Phoenicopteridae,Phoenicoparrus jamesi,exact,Phoenicoparrus jamesi_James's Flamingo,exact
Phoenicopterus chilensis,Chilean Flamingo,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus chilensis,exact,Phoenicopterus chilensis_Chilean Flamingo,exact
Phoenicopterus roseus,Greater Flamingo,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus roseus,exact,Phoenicopterus roseus_Greater Flamingo,exact
Phoenicopterus ruber,American Flamingo,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus ruber,exact,Phoenicopterus ruber_American Flamingo,exact
Rollandia microptera,Titicaca Grebe,Podicipediformes,Podicipedidae,Rollandia microptera,exact,Rollandia microptera_Titicaca Grebe,exact
Rollandia rolland,White-tufted Grebe,Podicipediformes,Podicipedidae,Rollandia rolland,exact,Rollandia rolland_White-tufted Grebe,exact
Tachybaptus rufolavatus,Alaotra Grebe,Podicipediformes,Podicipedidae,Tachybaptus rufolavatus,exact,,none
Tachybaptus ruficollis,Little Grebe,Podicipediformes,Podicipedidae,Tachybaptus ruficollis,exact,Tachybaptus ruficollis_Little Grebe,exact
Tachybaptus novaehollandiae,Australasian Grebe,Podicipediformes,Podicipedidae,Tachybaptus novaehollandiae,exact,Tachybaptus novaehollandiae_Australasian Grebe,exact
Tachybaptus pelzelnii,Madagascar Grebe,Podicipediformes,Podicipedidae,Tachybaptus pelzelnii,exact,Tachybaptus pelzelnii_Madagascar Grebe,exact
Tachybaptus dominicus,Least Grebe,Podicipediformes,Podicipedidae,Tachybaptus dominicus,exact,Tachybaptus dominicus_Least Grebe,exact
Podilymbus gigas,Atitlan Grebe,Podicipediformes,Podicipedidae,Podilymbus gigas,exact,,none
Podilymbus podiceps,Pied-billed Grebe,Podicipediformes,Podicipedidae,Podilymbus podiceps,exact,Podilymbus podiceps_Pied-billed Grebe,exact
Poliocephalus poliocephalus,Hoary-headed Grebe,Podicipediformes,Podicipedidae,Poliocephalus poliocephalus,exact,Poliocephalus poliocephalus_Hoary-headed Grebe,exact
Poliocephalus rufopectus,New Zealand Grebe,Podicipediformes,Podicipedidae,Poliocephalus rufopectus,exact,Poliocephalus rufopectus_New Zealand Grebe,exact
Podiceps major,Great Grebe,Podicipediformes,Podicipedidae,Podiceps major,exact,Podiceps major_Great Grebe,exact
Podiceps auritus,Horned Grebe,Podicipediformes,Podicipedidae,Podiceps auritus,exact,Podiceps auritus_Horned Grebe,exact
Podiceps grisegena,Red-necked Grebe,Podicipediformes,Podicipedidae,Podiceps grisegena,exact,Podiceps grisegena_Red-necked Grebe,exact
Podiceps cristatus,Great Crested Grebe,Podicipediformes,Podicipedidae,Podiceps cristatus,exact,Podiceps cristatus_Great Crested Grebe,exact
Podiceps nigricollis,Black-necked Grebe,Podicipediformes,Podicipedidae,Podiceps nigricollis,exact,Podiceps nigricollis_Black-necked Grebe,exact
Podiceps andinus,Colombian Grebe,Podicipediformes,Podicipedidae,,none,,none
Podiceps occipitalis,Silvery Grebe,Podicipediformes,Podicipedidae,Podiceps occipitalis,exact,Podiceps occipitalis_Silvery Grebe,exact
Podiceps taczanowskii,Junin Grebe,Podicipediformes,Podicipedidae,Podiceps taczanowskii,exact,Podiceps taczanowskii_Junin Grebe,exact
Podiceps gallardoi,Hooded Grebe,Podicipediformes,Podicipedidae,Podiceps gallardoi,exact,Podiceps gallardoi_Hooded Grebe,exact
Aechmophorus occidentalis,Western Grebe,Podicipediformes,Podicipedidae,Aechmophorus occidentalis,exact,Aechmophorus occidentalis_Western Grebe,exact
Aechmophorus clarkii,Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus clarkii,exact,Aechmophorus clarkii_Clark's Grebe,exact
Corythaeola cristata,Great Blue Turaco,Musophagiformes,Musophagidae,Corythaeola cristata,exact,Corythaeola cristata_Great Blue Turaco,exact
Crinifer concolor,Grey Go-away-bird,Musophagiformes,Musophagidae,,none,Crinifer concolor_Grey Go-away-bird,exact
Crinifer personatus,Bare-faced Go-away-bird,Musophagiformes,Musophagidae,,none,Crinifer personatus_Bare-faced Go-away-bird,exact
Crinifer leucogaster,White-bellied Go-away-bird,Musophagiformes,Musophagidae,,none,Crinifer leucogaster_White-bellied Go-away-bird,exact
Crinifer piscator,Western Plantain-eater,Musophagiformes,Musophagidae,Crinifer piscator,exact,Crinifer piscator_Western Plantain-eater,exact
Crinifer zonurus,Eastern Plantain-eater,Musophagiformes,Musophagidae,Crinifer zonurus,exact,Crinifer zonurus_Eastern Plantain-eater,exact
Gallirex porphyreolophus,Purple-crested Turaco,Musophagiformes,Musophagidae,,none,Gallirex porphyreolophus_Purple-crested Turaco,exact
Gallirex johnstoni,Rwenzori Turaco,Musophagiformes,Musophagidae,,none,Gallirex johnstoni_Rwenzori Turaco,exact
Menelikornis ruspolii,Ruspoli's Turaco,Musophagiformes,Musophagidae,,none,Menelikornis ruspolii_Ruspoli's Turaco,exact
Menelikornis leucotis,White-cheeked Turaco,Musophagiformes,Musophagidae,,none,Menelikornis leucotis_White-cheeked Turaco,exact
Tauraco violaceus,Violet Turaco,Musophagiformes,Musophagidae,,none,Tauraco violaceus_Violet Turaco,exact
Tauraco rossae,Ross's Turaco,Musophagiformes,Musophagidae,,none,Tauraco rossae_Ross's Turaco,exact
Tauraco macrorhynchus,Yellow-billed Turaco,Musophagiformes,Musophagidae,Tauraco macrorhynchus,exact,Tauraco macrorhynchus_Yellow-billed Turaco,exact
